Countries and areas,Latitude ,Longitude,OOSR_Pre0Primary_Age_Male,OOSR_Pre0Primary_Age_Female,OOSR_Primary_Age_Male,OOSR_Primary_Age_Female,OOSR_Lower_Secondary_Age_Male,OOSR_Lower_Secondary_Age_Female,OOSR_Upper_Secondary_Age_Male,OOSR_Upper_Secondary_Age_Female,Completion_Rate_Primary_Male,Completion_Rate_Primary_Female,Completion_Rate_Lower_Secondary_Male,Completion_Rate_Lower_Secondary_Female,Completion_Rate_Upper_Secondary_Male,Completion_Rate_Upper_Secondary_Female,Grade_2_3_Proficiency_Reading,Grade_2_3_Proficiency_Math,Primary_End_Proficiency_Reading,Primary_End_Proficiency_Math,Lower_Secondary_End_Proficiency_Reading,Lower_Secondary_End_Proficiency_Math,Youth_15_24_Literacy_Rate_Male,Youth_15_24_Literacy_Rate_Female,Birth_Rate,Gross_Primary_Education_Enrollment,Gross_Tertiary_Education_Enrollment,Unemployment_Rate
Tanzania,6.369028,34.888822,45,42,15,12,0,0,84,88,very high,extremely high,moderately low,low,moderately low,low,0,0,0,0,0,0,0,0,36.7,high,extremely low,extremely low
United States,37.09024,95.712891,12,8,1,1,3,1,4,3,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,81,73,0,0,11.6,very high,high,moderate
Uruguay,32.522779,55.765835,2,1,3,3,1,0,15,9,ultra high,ultra high,high,very high,moderate,low,80,75,59,68,58,49,99,99,13.86,very high,moderate,low
Uzbekistan,41.377491,64.585262,53,55,0,2,0,2,14,15,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,100,100,23.3,very high,extremely low,very low
Vanuatu,15.376706,166.959158,38,38,8,7,2,4,41,46,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,96,97,29.6,very high,extremely low,very low
Venezuela,6.42375,66.58973,14,14,10,10,15,13,28,19,extremely low,extremely low,extremely low,extremely low,extremely low,extremely low,0,0,0,0,0,0,0,0,17.88,high,moderately high,low
Vietnam,14.058324,108.277199,0,0,0,0,0,0,0,0,ultra high,ultra high,extremely high,extremely high,moderate,high,0,0,55,51,86,81,98,98,16.75,very high,low,extremely low
Yemen,15.552727,48.516388,96,96,10,21,23,34,46,68,high,moderately high,moderately high,moderately low,moderately low,low,0,0,0,0,0,0,0,0,30.45,high,extremely low,moderate
Zambia,13.133897,27.849332,0,0,17,13,0,0,0,0,very high,very high,moderately high,moderate,moderately low,low,0,0,0,0,5,2,93,92,36.19,high,extremely low,moderately low
Zimbabwe,19.015438,29.154857,60,58,0,0,0,0,45,50,extremely high,ultra high,moderate,moderately high,very low,very low,20,0,0,0,0,0,0,0,30.68,very high,extremely low,very low
